iteration,timesteps,mean_population_return,gbest_fitness,mean_velocity,time_pso_cumulative,time_total_cumulative
0,999,-51.142347963061965,-51.142347963061965,0.0,0.0,0.44202423095703125
1,1998,-52.305298684210726,-51.142347963061965,0.0,0.0,0.8938155174255371
2,2997,-47.59417024470819,-47.59417024470819,0.0,0.0,1.3420917987823486
3,3996,-49.26469846938332,-47.59417024470819,0.0,0.0,1.792923927307129
4,4995,-49.05911608412272,-47.59417024470819,0.0,0.0,2.240190029144287
5,5994,-50.26298916948379,-47.59417024470819,0.0,0.0,2.685912609100342
6,6993,-48.69949679617412,-47.59417024470819,0.0,0.0,3.132805824279785
7,7992,-46.4424547165429,-46.4424547165429,0.0,0.0,3.584306001663208
8,8991,-49.78202732114063,-46.4424547165429,0.0,0.0,4.037529945373535
9,9990,-51.08619934421783,-46.4424547165429,0.0,0.0,4.489340543746948
10,10989,-46.79601305671632,-46.4424547165429,0.0,0.0,4.943107604980469
11,11988,-45.36896381203304,-45.36896381203304,0.0,0.0,5.393416881561279
12,12987,-46.62261957988728,-45.36896381203304,0.0,0.0,5.844821214675903
13,13986,-47.40858627195254,-45.36896381203304,0.0,0.0,6.297730922698975
14,14985,-43.86336225037008,-43.86336225037008,0.0,0.0,6.750520467758179
15,15984,-45.97965992200265,-43.86336225037008,0.0,0.0,7.202404499053955
16,16983,-44.40065450112493,-43.86336225037008,0.0,0.0,7.655372142791748
17,17982,-43.493892299151845,-43.493892299151845,0.0,0.0,8.107325553894043
18,18981,-42.16914601034631,-42.16914601034631,0.0,0.0,8.556145429611206
19,19980,-40.46192627512807,-40.46192627512807,0.0,0.0,9.001163005828857
20,20979,-39.95518157691993,-39.95518157691993,0.0,0.0,9.447439193725586
21,21978,-38.048673475515415,-38.048673475515415,0.0,0.0,9.892718315124512
22,22977,-38.00286707328702,-38.00286707328702,0.0,0.0,10.341137647628784
23,23976,-38.726564938126636,-38.00286707328702,0.0,0.0,10.78812837600708
24,24975,-35.32568622312738,-35.32568622312738,0.0,0.0,11.236297607421875
25,25974,-34.419509726401365,-34.419509726401365,0.0,0.0,11.686256408691406
26,26973,-33.62240228987482,-33.62240228987482,0.0,0.0,12.135106325149536
27,27972,-32.38544000895832,-32.38544000895832,0.0,0.0,12.584188461303711
28,28971,-32.88493317001444,-32.38544000895832,0.0,0.0,13.036060333251953
29,29970,-32.89498381691967,-32.38544000895832,0.0,0.0,13.486927032470703
30,30969,-29.66552058542063,-29.66552058542063,0.0,0.0,13.94323182106018
31,31968,-31.431449178492677,-29.66552058542063,0.0,0.0,14.393156290054321
32,32967,-30.155409191688218,-29.66552058542063,0.0,0.0,14.84385347366333
33,33966,-28.877335746336584,-28.877335746336584,0.0,0.0,15.296984434127808
34,34965,-28.755571036250668,-28.755571036250668,0.0,0.0,15.747281074523926
35,35964,-27.941166331364947,-27.941166331364947,0.0,0.0,16.196043252944946
36,36963,-25.807820323867706,-25.807820323867706,0.0,0.0,16.647324800491333
37,37962,-25.72606116562885,-25.72606116562885,0.0,0.0,17.09887433052063
38,38961,-23.12614948313389,-23.12614948313389,0.0,0.0,17.549126625061035
39,39960,-22.21757266130448,-22.21757266130448,0.0,0.0,17.99937891960144
40,40959,-23.57924219218335,-22.21757266130448,0.0,0.0,18.448570251464844
41,41958,-23.377424947993244,-22.21757266130448,0.0,0.0,18.89755916595459
42,42957,-23.311204755024203,-22.21757266130448,0.0,0.0,19.34895348548889
43,43956,-21.92294877469353,-21.92294877469353,0.0,0.0,19.796730041503906
44,44955,-20.472108676893466,-20.472108676893466,0.0,0.0,20.249357223510742
45,45954,-19.535685254947193,-19.535685254947193,0.0,0.0,20.697685718536377
46,46953,-21.12139607328821,-19.535685254947193,0.0,0.0,21.14879584312439
47,47952,-19.87975318438872,-19.535685254947193,0.0,0.0,21.597821712493896
48,48951,-18.91268058235351,-18.91268058235351,0.0,0.0,22.052396059036255
49,49950,-18.702138344495463,-18.702138344495463,0.0,0.0,22.50885820388794
50,50949,-18.020074168258716,-18.020074168258716,0.0,0.0,22.959309816360474
51,51948,-19.27373622941478,-18.020074168258716,0.0,0.0,23.411412477493286
52,52947,-16.074549643517337,-16.074549643517337,0.0,0.0,23.86102843284607
53,53946,-17.304811955133186,-16.074549643517337,0.0,0.0,24.302462339401245
54,54945,-14.921128522104311,-14.921128522104311,0.0,0.0,24.75452184677124
