iteration,timesteps,mean_population_return,gbest_fitness,mean_velocity,time_pso_cumulative,time_total_cumulative
0,3996,-52.371179941314956,-50.80990780704471,0.09916139898164797,0.0016646385192871094,0.9523837566375732
1,7992,-52.22486201561762,-50.50348680305715,0.08350964399869554,0.003301382064819336,1.8676354885101318
2,11988,-52.233678290635794,-49.92160815162252,0.10593976705734219,0.004972696304321289,2.790221929550171
3,15984,-52.08068147485906,-49.91238843811427,0.1356381591675537,0.006700277328491211,3.779132604598999
4,19980,-53.02085188799066,-49.91238843811427,0.11243602826393076,0.00889277458190918,4.691720724105835
5,23976,-53.959540345137675,-49.91238843811427,0.11266916130469846,0.010568857192993164,5.653893709182739
6,27972,-52.40508477239606,-48.82422932595142,0.12178222618864051,0.01227426528930664,6.579269647598267
7,31968,-54.60130192453836,-48.82422932595142,0.1051772393568951,0.013951778411865234,7.4968321323394775
8,35964,-54.012098852682875,-48.82422932595142,0.10490202547017752,0.015619993209838867,8.406386137008667
9,39960,-53.29499690184179,-48.82422932595142,0.10739740096947312,0.01727437973022461,9.320373773574829
10,43956,-53.266088915180596,-48.82422932595142,0.0989954910473898,0.018946170806884766,10.238922834396362
11,47952,-52.60913547958668,-48.82422932595142,0.10088942088519356,0.020610570907592773,11.152068376541138
12,51948,-54.7970262098465,-48.82422932595142,0.09042414339741559,0.022302865982055664,12.068303346633911
13,55404,-22.522221180847616,73.56798544771549,0.09071639027908013,0.023948192596435547,12.86142349243164
14,59400,-57.66665867764943,73.56798544771549,0.08649777850535299,0.025682926177978516,13.770237922668457
15,63396,-59.37853904193212,73.56798544771549,0.08281314753341056,0.027341127395629883,14.68276858329773
16,67392,-54.52433158913358,73.56798544771549,0.08135962355299853,0.028981685638427734,15.59354305267334
17,71388,-52.889835996351444,73.56798544771549,0.08190009334378243,0.030638933181762695,16.50568461418152
18,75384,-54.15346695212984,73.56798544771549,0.07881744627541463,0.03236818313598633,17.41742205619812
19,78941,-28.28399531570461,73.56798544771549,0.08383289266722775,0.03400754928588867,18.230448484420776
20,82664,-25.33103214809717,73.56798544771549,0.06783245700457233,0.03629302978515625,19.105438947677612
21,86430,-25.050323106788074,73.56798544771549,0.07727839741086687,0.037930965423583984,20.018197059631348
22,90426,-56.94248835568858,73.56798544771549,0.06769973327235285,0.03957509994506836,20.93093776702881
23,94422,-57.04963842992462,73.56798544771549,0.07570903473398566,0.04127931594848633,21.84008288383484
24,98418,-56.31217884258288,73.56798544771549,0.059478088033626725,0.042935848236083984,22.761640071868896
25,101991,-25.50056020523909,73.56798544771549,0.0705294526864496,0.04544377326965332,23.76586651802063
26,105987,-56.2140909402911,73.56798544771549,0.06251053579658869,0.04707908630371094,24.682400941848755
27,109893,-30.628468326379704,73.56798544771549,0.05892854257607334,0.04873323440551758,25.575498819351196
28,113638,-28.99948804651141,73.56798544771549,0.06448381307226166,0.05036020278930664,26.4261531829834
29,117634,-55.19874509249675,73.56798544771549,0.06540477754502458,0.052017927169799805,27.362857580184937
30,121630,-54.53185209325869,73.56798544771549,0.052813963853363274,0.053682565689086914,28.272515773773193
31,125626,-54.00158980998445,73.56798544771549,0.06705070967499133,0.05537104606628418,29.210543155670166
32,129202,0.6406400167979669,73.56798544771549,0.05123311031898733,0.05705142021179199,30.064830541610718
33,133198,-56.95216032469209,73.56798544771549,0.062041678160117686,0.05871081352233887,31.020224571228027
34,137194,-53.28323194994136,73.56798544771549,0.04992040096554514,0.061335086822509766,31.93937063217163
35,141190,-54.247003487243845,73.56798544771549,0.05535546173606625,0.06299972534179688,32.9784677028656
36,144820,-27.61982704614273,73.56798544771549,0.0549404489886131,0.06464886665344238,33.81455874443054
37,148816,-56.48985906520216,73.56798544771549,0.056627050289534964,0.06629729270935059,34.72202968597412
38,152723,-26.89038535960073,73.56798544771549,0.051102203273200884,0.06792736053466797,35.62363624572754
39,156719,-53.712534905279796,73.56798544771549,0.05104521538695345,0.06962013244628906,36.53397750854492
40,160715,-56.30189209465483,73.56798544771549,0.04761996852971606,0.07128429412841797,37.44883489608765
41,164711,-56.01554006884634,73.56798544771549,0.05234102491418266,0.07299304008483887,38.40441155433655
42,168707,-52.6867554336905,73.56798544771549,0.04516355304209745,0.07465386390686035,39.32898163795471
43,171449,38.457795536296885,82.66681560656846,0.06641992479230144,0.07634305953979492,39.98295879364014
44,174819,-23.39651606565105,82.66681560656846,0.050434474477827146,0.07798552513122559,40.79946565628052
45,178250,-24.90348946893461,82.66681560656846,0.05665394280471706,0.07963895797729492,41.58176302909851
46,182226,-31.90568380897304,82.66681560656846,0.05031156635959633,0.08128809928894043,42.48715257644653
47,186222,-56.06005649661965,82.66681560656846,0.05035532352589403,0.08297109603881836,43.41884684562683
48,190218,-56.14326028022661,82.66681560656846,0.04751807729501577,0.08459854125976562,44.32940340042114
49,194214,-57.316065421468736,82.66681560656846,0.04936034717060725,0.08624482154846191,45.242384910583496
50,197924,-28.853759293710073,82.66681560656846,0.05240590619463806,0.08799147605895996,46.08669900894165
51,201920,-56.08845605405577,82.66681560656846,0.04726337723799848,0.08962535858154297,46.9899742603302
